x,y
1463870520,0
1463870580,0
1463870640,4500
1463870700,0
1463870760,0
1463870880,0
1463870940,0
1463871000,0
1463871060,0
1463871180,0
1463871240,0
1463871300,0
1463871360,0
1463871480,0
1463871540,0
1463871600,0
1463871660,0
1463871780,0
1463871840,0
1463871900,0
1463871960,0
1463872080,0
1463872140,0
1463872200,0
1463872260,0
1463872320,0
1463872440,0
1463872500,0
1463872560,0
1463872620,0
1463872740,0
1463872800,0
1463872860,0
1463872920,0
1463873040,0
1463873100,0
1463873160,0
1463873220,0
1463873340,0
1463873400,0
1463873460,0
1463873520,0
1463873640,0
1463873700,0
1463873760,0
1463873820,0
1463873940,0
1463874000,0
1463874060,0
1463874120,0
1463874180,0
1463874300,0
1463874360,0
1463874420,0
1463874480,0
1463874600,0
1463874660,0
1463874720,0
1463874780,0
1463874900,0
1463874960,0
1463875020,0
1463875080,0
1463875200,0
1463875260,0
1463875320,0
1463875380,0
1463875500,0
1463875560,0
1463875620,0
1463875680,0
1463875800,0
1463875860,0
1463875920,0
1463875980,0
1463876040,0
1463876160,0
1463876220,0
1463876280,0
1463876340,0
1463876460,0
1463876520,0
1463876580,0
1463876640,0
1463876760,0
1463876820,0
1463876880,0
1463876940,0
1463877060,0
1463877120,0
1463877180,0
1463877240,0
1463877360,0
1463877420,0
1463877480,0
1463877540,0
1463877600,0
1463877720,0
1463877780,0
1463877840,0
1463877900,0
1463878020,0
1463878080,0
1463878140,0
1463878200,0
1463878320,0
1463878380,0
1463878440,0
1463878500,0
1463878620,0
1463878680,0
1463878740,0
1463878800,0
1463878920,0
1463878980,0
1463879040,0
1463879100,0
1463879220,0
1463879280,0
1463879340,0
1463879400,0
1463879460,0
1463879580,0
1463879640,0
1463879700,0
1463879760,0
1463879880,0
1463879940,0
1463880000,0
1463880060,0
1463880180,0
1463880240,0
1463880300,0
1463880360,0
1463880480,0
1463880540,0
1463880600,0
1463880660,0
1463880780,0
1463880840,0
1463880900,0
1463880960,0
1463881020,0
1463881140,200
1463881200,100
1463881260,0
1463881320,0
1463881440,0
1463881500,0
1463881560,0
1463881620,0
1463881740,0
1463881800,0
1463881860,0
1463881920,0
1463882040,0
1463882100,0
1463882160,0
1463882220,0
1463882340,0
1463882400,0
1463882460,0
1463882520,0
1463882640,0
1463882700,0
1463882760,0
1463882820,0
1463882880,0
1463883000,0
1463883060,0
1463883120,0
1463883180,0
1463883300,0
1463883360,0
1463883420,0
1463883480,0
1463883600,0
1463883660,0
1463883720,0
1463883780,0
1463883900,0
1463883960,0
1463884020,0
1463884080,0
1463884200,0
1463884260,0
1463884320,0
1463884380,0
1463884500,0
1463884560,0
1463884620,0
